"Title","Price","ImageURL","url","Time"
"$25 Mike the Frog Shirt, Orange","$25","img/shirts/shirt-108.jpg","http://shirts4mike.com/shirt.php?id=108","""2016-07-06T09:11:59.266Z"""
"$20 Logo Shirt, Teal","$20","img/shirts/shirt-107.jpg","http://shirts4mike.com/shirt.php?id=107","""2016-07-06T09:11:59.272Z"""
"$25 Mike the Frog Shirt, Yellow","$25","img/shirts/shirt-105.jpg","http://shirts4mike.com/shirt.php?id=105","""2016-07-06T09:11:59.275Z"""
"$20 Logo Shirt, Gray","$20","img/shirts/shirt-106.jpg","http://shirts4mike.com/shirt.php?id=106","""2016-07-06T09:11:59.279Z"""
