"Title","Price","ImageURL","url","Time"
"$20 Logo Shirt, Teal","$20","img/shirts/shirt-107.jpg","http://shirts4mike.com/shirt.php?id=105","""2016-05-18T17:31:51.310Z"""
"$25 Mike the Frog Shirt, Yellow","$25","img/shirts/shirt-105.jpg","http://shirts4mike.com/shirt.php?id=105","""2016-05-18T17:31:51.315Z"""
"$20 Logo Shirt, Gray","$20","img/shirts/shirt-106.jpg","http://shirts4mike.com/shirt.php?id=105","""2016-05-18T17:31:51.318Z"""
"$25 Mike the Frog Shirt, Orange","$25","img/shirts/shirt-108.jpg","http://shirts4mike.com/shirt.php?id=105","""2016-05-18T17:31:52.160Z"""
